SUBST�NCIA;PF 17% ALC;PF 17;TIPO DE PRODUTO;COMERCIALIZA��O 2019
FLUCONAZOL;854,08;854,08;Genérico;Sim
MIRTAZAPINA;133,16;133,16;Genérico;Não
HEMIFUMARATO DE ALISQUIRENO;142,81;142,81;Genérico;Não
TOPIRAMATO;164,61;164,61;Genérico;Sim
PARACETAMOL;14,11;16,21;Genérico;Não
DICLOFENACO COLESTIRAMINA;7,11;7,11;Novo;Não
TADALAFILA;195,96;195,96;Genérico;Sim
CLORIDRATO DE TAPENTADOL;170,93;196,36;Novo;Não
CROMOGLICATO DE SODIO;9,14;9,14;Novo;Sim
FENOFIBRATO;99,78;99,78;Similar;Não
VALPROATO DE SÓDIO;464,36;464,36;Genérico;Sim
ALIROCUMABE;5303,27;6092,04;Biológico;Não
CLORIDRATO DE TAPENTADOL;28,45;32,69;Novo;Não
CLORIDRATO DE PIOGLITAZONA;18,36;18,36;Similar;Não
DUPILUMABE;6471,83;7434,41;Biológico;Não
"INSULINA GLARGINA;LIXISENATIDA";119,37;137,13;Biológico;Não
CETOPROFENO;23,00;23,00;Novo;Não
CLORIDRATO DE DONEPEZILA;;;Similar;Não
"CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA";80,55;80,55;Similar;Sim
PREGABALINA;72,55;72,55;Genérico;Sim
TEICOPLANINA;5862,44;5862,44;Similar;Sim
ÁCIDO SALICÍLICO;21,40;24,58;Similar;Sim
CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO;127,36;127,36;Genérico;Sim
CLORIDRATO DE DOBUTAMINA;36,46;36,46;Novo;Não
ARIPIPRAZOL;199,02;199,02;Genérico;Não
SULFATO FERROSO HEPTAIDRATADO;9,63;11,06;Específico;Não
"CLORIDRATO DE OXICODONA;CLORIDRATO DE NALOXONA";51,96;51,96;Novo;Não
"CLORIDRATO DE CIPROFLOXACINO ;DEXAMETASONA";18,39;18,39;Genérico;Não
DICLORIDRATO DE PRAMIPEXOL MONOIDRATADO;23,06;23,06;Genérico;Sim
FOSFATO DISSÓDICO DE DEXAMETASONA;408,73;408,73;Genérico;Sim
DESLORATADINA;29,21;33,55;Similar;Sim
CLORIDRATO DE BUPROPIONA;145,73;145,73;Genérico;Não
FUMARATO DE RUPATADINA;44,90;51,58;Novo;Sim
ORLIPASTAT;103,94;119,40;Genérico;Sim
CLORIDRATO DE FLUOXETINA;56,95;56,95;Genérico;Não
ROSUVASTATINA CÁLCICA;10,07;10,07;Similar;Não
CLORIDRATO DE GRANISETRONA;92,90;92,90;Novo;Não
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";58,77;58,77;Similar;Não
IBUPROFENO;11,53;13,25;Similar;Sim
FLUMAZENIL;655,05;655,05;Genérico;Sim
DESOGESTREL;20,83;20,83;Genérico;Sim
GLICOSE;5,37;5,37;Específico;Sim
ÁCIDO TRANEXÂMICO;42,37;48,68;Novo;Sim
CARVEDILOL;64,52;64,52;Similar;Sim
DESOGESTREL;74,89;74,89;Similar;Não
TRETINOÍNA;39,34;39,34;Similar;Não
CLORIDRATO DE CICLOBENZAPRINA;7,62;8,75;Similar;Sim
"HIDRÓXIDO DE ALUMÍNIO;TRISSILICATO DE MAGNÉSIO;HIDRÓXIDO DE MAGNÉSIO";88,38;101,53;Específico;Não
"ETINILESTRADIOL;DROSPIRENONA";39,39;39,39;Similar;Sim
CELECOXIBE;33,58;33,58;Genérico;Não
CLORIDRATO DE SERTRALINA;62,02;62,02;Novo;Não
MESILATO DE IMATINIBE;;;Genérico;Não
SINVASTATINA;;;Genérico;Não
CLORIDRATO DE DONEPEZILA;345,52;345,52;Genérico;Sim
"ACETATO DE RETINOL;COLECALCIFEROL";2808,10;3225,76;Específico;Não
CLORIDRATO DE PAROXETINA;34,94;34,94;Novo;Não
"SULBACTAM SÓDICO;AMPICILINA SÓDICA";517,12;517,12;Genérico;Não
"FOSFATO DISSÓDICO DE DEXAMETASONA;CLORIDRATO DE TIAMINA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA";25,14;28,88;Novo;Não
MICOFENOLATO DE SÓDIO;2702,72;2702,72;Genérico;Não
CLORIDRATO DE SERTRALINA;314,60;314,60;Similar;Não
IBUPROFENO;12,88;14,79;Similar;Não
HEMITARTARATO DE VINORELBINA;216,23;216,23;Similar;Sim
FOSFATO DE RUXOLITINIBE;12475,89;14331,47;Novo;Sim
CLORETO DE SUXAMETÔNIO;18,82;18,82;Similar;Sim
CLORIDRATO DE BENZIDAMINA;14,47;16,62;Novo;Sim
"DIPIRONA MONOIDRATADA;CAFEÍNA ANIDRA;CITRATO DE ORFENADRINA";67,06;77,04;Similar;Não
CLORIDRATO DE TIAMINA;15,03;17,26;Específico;Sim
"CLORETO DE CÁLCIO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO;ÁCIDO ACÉTICO;CLORETO DE MAGNÉSIO";;;Similar;Sim
CLORIDRATO DE FLUOXETINA;96,93;96,93;Novo;Não
GLIMEPIRIDA;12,58;12,58;Genérico;Não
BUSSULFANO;19,78;19,78;Novo;Não
FINASTERIDA;;;Genérico;Não
NITRATO DE MICONAZOL;10,23;11,75;Genérico;Sim
"URIDINA-5'-TRIFOSFATO TRISSÓDICA;ACETATO DE HIDROXOCOBALAMINA;CITIDINA 5'-MONOFOSFATO DISSÓDICO";276,57;317,71;Similar;Sim
PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO;5147,79;5147,79;Genérico;Sim
DESLORATADINA;24,02;27,59;Similar;Sim
"TROXERRUTINA;CUMARINA";55,59;63,86;Específico;Não
FOSFATO DE CODEÍNA;194,49;194,49;Novo;Sim
CLORIDRATO DE SERTRALINA;51,86;51,86;Genérico;Sim
CLORIDRATO DE CICLOBENZAPRINA;221,18;254,08;Genérico;Não
CLORIDRATO DE VANCOMICINA;1216,52;1216,52;Genérico;Sim
CLORIDRATO DE RANITIDINA;95,42;95,42;Genérico;Sim
MESILATO DE CODERGOCRINA;59,67;59,67;Novo;Não
ESTOLATO DE ERITROMICINA;29,72;29,72;Genérico;Não
NISTATINA;21,72;21,72;Genérico;Sim
CLORIDRATO DE VENLAFAXINA;80,11;80,11;Similar;Sim
ALPRAZOLAM;19,99;19,99;Genérico;Não
OXALIPLATINA;18138,92;18138,92;Similar;Não
"BETAMETASONA;MALEATO DE DEXCLORFENIRAMINA";21,96;25,22;Similar;Não
"ÁCIDO SALICÍLICO;ÓXIDO DE ZINCO;ENXOFRE;ÁCIDO BÓRICO";7,25;8,33;Novo;Sim
DIPROPIONATO DE BECLOMETASONA;23,98;23,98;Novo;Não
PERÓXIDO DE BENZOÍLA;23,24;26,69;Similar;Sim
MEPOLIZUMABE;5327,31;5915,31;Biológico;Sim
CEFADROXILA;50,48;50,48;Similar;Não
CLORIDRATO DE TRAMADOL;1440,43;1440,43;Genérico;Sim
DICLORIDRATO DE LEVOCETIRIZINA;40,35;46,35;Novo;Sim
ACTAEA RACEMOSA L.;53,68;61,66;Fitoterápico;Não
CLONAZEPAM;9,67;9,67;Genérico;Sim
BROMIDRATO DE CITALOPRAM;65,72;65,72;Genérico;Não
"CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA";60,76;60,76;Similar;Não
FLUTRIMAZOL;38,10;43,77;Novo;Não
DIVALPROATO DE SÓDIO;39,71;39,71;Similar;Não
GLIMEPIRIDA;7,90;7,90;Similar;Não
MELOXICAM;18,99;18,99;Genérico;Sim
CLORIDRATO DE DONEPEZILA;992,69;992,69;Similar;Sim
LACOSAMIDA;109,39;125,66;Genérico;Não
"LACTATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO";192,57;192,57;Específico;Sim
CARBOXIMETILCELULOSE SÓDICA;6,52;7,49;Similar;Não
MALEATO DE ERGOMETRINA;5,92;5,92;Similar;Não
ACETATO DE LEUPRORRELINA;1454,52;1454,52;Similar;Sim
RABEPRAZOL SÓDICO;237,13;237,13;Novo;Sim
"BROMETO DE GLICOPIRRÔNIO;MALEATO DE INDACATEROL";73,77;84,75;Novo;Não
CARVEDILOL;23,14;23,14;Genérico;Sim
LEVEDURA;51,51;59,17;Similar;Não
"ETINILESTRADIOL;DROSPIRENONA";49,17;49,17;Similar;Não
"FENILALANINA;L-METIONINA;PROLINA;LEVOVALINA;SERINA;HISTIDINA;TREONINA;TIROSINA;LEUCINA;GLICINA;ISOLEUCINA;TAURINA;ALANINA;ACETATO DE LISINA;ARGININA";2381,22;2381,22;Similar;Não
CLORIDRATO DE SERTRALINA;86,53;86,53;Genérico;Não
ARIPIPRAZOL;612,36;612,36;Similar;Sim
PARACETAMOL;17,19;19,75;Novo;Sim
ÁCIDO ZOLEDRÔNICO MONOIDRATADO;;;Genérico;Não
PEUMUS BOLDUS;31,76;36,48;Fitoterápico;Não
RISPERIDONA;114,65;114,65;Genérico;Não
ARIPIPRAZOL;587,01;587,01;Genérico;Sim
MONOSSULFIRAM;10,87;12,07;Novo;Não
ORLISTATE;73,15;84,03;Genérico;Não
"HESPERIDINA;DIOSMINA";76,08;87,39;Específico;Não
"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";19,70;22,63;Genérico;Não
CEFTRIAXONA SÓDICA;16,83;16,83;Genérico;Sim
HEMITARTARATO DE RIVASTIGMINA;122,71;122,71;Genérico;Sim
CLORIDRATO DE TIAMINA;315,54;362,48;Específico;Sim
GLICLAZIDA;27,48;27,48;Novo;Sim
CAPTOPRIL;658,08;658,08;Genérico;Não
SULFATO FERROSO;9,76;11,21;Específico;Sim
HIDROGENOTARTARATO DE RIVASTIGMINA;140,90;140,90;Genérico;Não
LAMOTRIGINA;35,02;35,02;Genérico;Não
CITRATO DE SILDENAFILA;7,15;8,22;Genérico;Sim
GLICOSE;153,14;153,14;Específico;Sim
LEVONORGESTREL;13,01;13,01;Similar;Sim
VITEX AGNUS-CASTUS L.;56,21;64,57;Fitoterápico;Sim
AMOROLFINA;78,09;89,70;Novo;Sim
CLORIDRATO DE DONEPEZILA;145,13;145,13;Genérico;Não
BROMIDRATO DE GALANTAMINA;197,40;197,40;Similar;Não
RISPERIDONA;146,82;146,82;Genérico;Não
"GUAIFENESINA;SULFATO DE PSEUDOEFEDRINA;MALEATO DE DEXCLORFENIRAMINA";23,05;26,48;Similar;Não
NISTATINA;18,60;18,60;Similar;Sim
ROSUVASTATINA CÁLCICA;55,27;55,27;Genérico;Não
"BACITRACINA;SULFATO DE NEOMICINA";8,72;10,02;Similar;Sim
CLORIDRATO DE CLONIDINA;8,82;8,82;Novo;Sim
COLECALCIFEROL;1128,22;1296,02;Específico;Não
CARMELOSE SÓDICA;17,37;19,96;Específico;Não
ALTEPLASE;;;Novo;Sim
CLORETO DE SÓDIO;6,02;6,02;Específico;Sim
APREPITANTO;604,41;604,41;Novo;Não
CILOSTAZOL;46,48;46,48;Genérico;Sim
"HIDROCLOROTIAZIDA;TELMISARTANA";133,42;133,42;Novo;Sim
ISOTRETINOÍNA;159,28;159,28;Genérico;Sim
SINVASTATINA;35,13;35,13;Similar;Não
SULFATO DE ABACAVIR;;;Novo;Não
DIPIRONA;74,92;86,07;Genérico;Não
"TRIANCINOLONA ACETONIDA;SULFATO DE NEOMICINA;NISTATINA;GRAMICIDINA";17,39;19,98;Genérico;Não
ATENOLOL;45,22;45,22;Similar;Não
"LACTATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO";164,71;164,71;Específico;Sim
OXALATO DE ESCITALOPRAM;274,25;274,25;Genérico;Sim
GLICLAZIDA;8,34;8,34;Similar;Não
ROSUVASTATINA CÁLCICA;33,01;33,01;Similar;Não
ÁCIDO ASCÓRBICO;14,47;16,62;Específico;Não
AZITROMICINA DI-HIDRATADA;33,90;33,90;Genérico;Não
CAPTOPRIL;38,20;38,20;Genérico;Sim
ARIPIPRAZOL;199,01;199,01;Similar;Não
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";15,72;15,72;Similar;Sim
DIPIRONA MONOIDRATADA;8,09;9,29;Novo;Não
"ATENOLOL;CLORTALIDONA";14,90;14,90;Similar;Não
IOMEPROL;758,42;871,23;Novo;Sim
PANITUMUMABE;5535,13;6358,39;Biológico;Não
FOSFATO DE POTÁSSIO DIBÁSICO;327,78;327,78;Específico;Sim
ACEBROFILINA;16,37;16,37;Similar;Não
CLORIDRATO DE LIDOCAINA;12,95;12,95;Similar;Não
"CITRATO DE SÓDIO DI-HIDRATADO;GLICOSE;CITRATO DE POTÁSSIO;CLORETO DE SÓDIO";6,40;7,35;Específico;Não
TOBRAMICINA;694,77;694,77;Genérico;Não
"FOSFATO DISSÓDICO DE BETAMETASONA;DIPROPIONATO DE BETAMETASONA";18,94;18,94;Similar;Sim
EZETIMIBA;35,92;35,92;Similar;Não
ATORVASTATINA CÁLCICA;65,92;65,92;Similar;Não
CETOCONAZOL;67,96;67,96;Genérico;Não
"LEVONORGESTREL;ETINILESTRADIOL";5,75;5,75;Similar;Sim
CLORIDRATO DE BROMEXINA;11,63;13,36;Similar;Não
"SULFATO DE NEOMICINA;CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";21,85;25,10;Genérico;Sim
CLORIDRATO DE METFORMINA;16,69;16,69;Genérico;Sim
ILOPROSTA;1154,06;1154,06;Novo;Sim
CLORIDRATO DE PAROXETINA;41,58;41,58;Genérico;Sim
"CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO;DEXAMETASONA";18,14;18,14;Genérico;Não
CYNARA SCOLYMUS L.;42,03;48,28;Fitoterápico;Não
TERCONAZOL;47,01;54,00;Novo;Não
CLAVULANATO DE POTÁSSIO;637,83;732,70;Similar;Sim
LAMIVUDINA;;;Similar;Sim
BISSULFATO DE CLOPIDOGREL;113,60;113,60;Genérico;Sim
TOBRAMICINA;13,90;13,90;Genérico;Sim
CLORIDRATO DE METFORMINA;22,05;22,05;Novo;Sim
IMUNOGLOBULINA G ;1830,17;1830,17;Biológicos;Sim
MONTELUCASTE DE SÓDIO;16,47;16,47;Genérico;Não
GLICONATO DE ZINCO;13,72;15,76;Específico;Não
TEMOZOLOMIDA;2137,59;2137,59;Genérico;Não
AMOXICILINA TRI-HIDRATADA;26,43;26,43;Similar;Sim
CLORETO DE SÓDIO;150,17;150,17;Similar;Sim
LACOSAMIDA;172,36;198,00;Novo;Sim
ATORVASTATINA CÁLCICA;76,25;76,25;Similar;Sim
GLICOSE;9,36;9,36;Específico;Sim
CARBONATO DE CÁLCIO;79,77;91,63;Similar;Sim
CEFALEXINA MONOIDRATADA;27,71;27,71;Genérico;Não
CEFALEXINA MONOIDRATADA;412,18;412,18;Novo;Não
NIMESULIDA;817,11;817,11;Similar;Sim
ALPRAZOLAM;83,20;83,20;Similar;Sim
CLORIDRATO DE SERTRALINA;1008,14;1008,14;Genérico;Sim
SULFATO DE SALBUTAMOL;8,30;8,30;Similar;Sim
ÉSTERES ETÍLICOS DOS ÁCIDOS GRAXOS DO ÓLEO DE PAPOULA IODADOS;610,29;610,29;Similar;Sim
"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";73,58;73,58;Genérico;Sim
"GESTODENO;ETINILESTRADIOL";49,06;49,06;Similar;Sim
LEVOFLOXACINO HEMI-HIDRATADO;44,58;44,58;Genérico;Sim
CAPTOPRIL;58,64;58,64;Similar;Não
LEVOTIROXINA SÓDICA;10,14;10,14;Novo;Não
CLORIDRATO DE PILOCARPINA;23,58;23,58;Novo;Sim
PACLITAXEL;2731,78;2731,78;Similar;Não
"GLICOSE;CLORETO DE SÓDIO";249,27;249,27;Específico;Sim
CLORIDRATO DE FLUOXETINA;63,64;63,64;Genérico;Não
METILDOPA;;;Genérico;Não
"TAZOBACTAM SÓDICO;PIPERACILINA SÓDICA";1135,46;1135,46;Similar;Não
OLMESARTANA MEDOXOMILA;34,22;34,22;Novo;Não
CLORIDRATO DE SOTALOL;29,31;29,31;Genérico;Sim
DEXAMETASONA;8,65;8,65;Genérico;Sim
CLORIDRATO DE CICLOBENZAPRINA;19,91;22,87;Similar;Sim
FLUORMETOLONA;15,36;15,36;Novo;Não
"LANSOPRAZOL;CLARITROMICINA;AMOXICILINA TRI-HIDRATADA";189,23;189,23;Similar;Sim
TADALAFILA;209,95;209,95;Genérico;Sim
"BESILATO DE ANLODIPINO;OLMESARTANA MEDOXOMILA";31,83;31,83;Genérico;Não
SOFOSBUVIR;131615,62;151191,25;Similar;Não
CITRATO DE SILDENAFILA;12,85;14,77;Genérico;Sim
OXALATO DE ESCITALOPRAM;76,49;76,49;Similar;Sim
CAPTOPRIL;18,14;18,14;Similar;Sim
AMISSULPRIDA;75,59;75,59;Novo;Sim
CLORIDRATO DE DEXMEDETOMIDINA;3326,53;3326,53;Genérico;Não
MALEATO DE ENALAPRIL;27,66;27,66;Genérico;Não
CLORIDRATO DE VENLAFAXINA;223,84;223,84;Similar;Não
"BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA MONOIDRATADA";9,31;10,69;Similar;Sim
CLORTALIDONA;15,16;15,16;Genérico;Sim
TADALAFILA;55,98;55,98;Genérico;Sim
METRONIDAZOL;511,08;511,08;Genérico;Sim
BENZOATO DE BENZILA;9,49;10,90;Similar;Não
CEFALEXINA MONOIDRATADA;13,45;13,45;Similar;Sim
SUCCINATO DE METOPROLOL;232,30;232,30;Similar;Não
DICLORIDRATO DE PRAMIPEXOL;165,53;165,53;Genérico;Sim
"VALSARTANA;BESILATO DE ANLODIPINO";97,57;97,57;Similar;Não
"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";72,86;72,86;Genérico;Sim
GALCANEZUMABE;3649,93;4192,80;Biológico;Não
MELOXICAM;33,41;33,41;Similar;Sim
CRIZOTINIBE;22233,97;25540,90;Novo;Não
"DAPAGLIFLOZINA;CLORIDRATO DE METFORMINA";59,98;68,90;Novo;Sim
CLORIDRATO DE AMBROXOL;20,78;23,87;Similar;Não
"HESPERIDINA;DIOSMINA";107,79;123,82;Novo;Sim
ESTRIOL;34,17;34,17;Novo;Não
CETOCONAZOL;26,45;26,45;Genérico;Sim
CLORIDRATO DE METOCLOPRAMIDA;75,04;86,20;Similar;Não
CLORIDRATO DE LERCANIDIPINO;64,88;64,88;Genérico;Sim
"MALEATO DE CLORFENIRAMINA;PARACETAMOL;CLORIDRATO DE FENILEFRINA";6,84;7,86;Similar;Sim
PROPIONATO DE FLUTICASONA;14,59;14,59;Similar;Não
PRAVASTATINA SÓDICA;129,02;129,02;Genérico;Não
HEMIFUMARATO DE QUETIAPINA;415,30;415,30;Genérico;Sim
"PERINDOPRIL ARGININA;BESILATO DE ANLODIPINO";16,08;18,47;Novo;Não
PARACETAMOL;6,68;7,67;Similar;Sim
OXCARBAZEPINA;44,55;44,55;Similar;Sim
ESOMEPRAZOL MAGNÉSICO;81,99;81,99;Genérico;Sim
ACICLOVIR;81,70;81,70;Genérico;Sim
OXALATO DE ESCITALOPRAM;60,57;60,57;Novo;Não
AESCULUS HIPPOCASTANUM L.;39,47;43,83;Fitoterápico;Sim
MALEATO DE DEXCLORFENIRAMINA;7,09;8,14;Genérico;Sim
"TRIMETOPRIMA;SULFAMETOXAZOL";6,17;6,17;Novo;Não
PANTOPRAZOL;46,17;46,17;Genérico;Sim
TADALAFILA;54,33;54,33;Genérico;Sim
OXCARBAZEPINA;245,11;245,11;Novo;Sim
SACCHAROMYCES BOULARDII;24,04;27,62;Biológico;Não
"BENZOATO DE ALOGLIPTINA;CLORIDRATO DE METFORMINA";26,09;29,97;Novo;Sim
ROSUVASTATINA CÁLCICA;387,53;387,53;Similar;Sim
CEFALEXINA MONOIDRATADA;700,95;700,95;Genérico;Sim
CLORIDRATO DE XILOMETAZOLINA;7,31;8,40;Novo;Não
ÁCIDO ASCÓRBICO;37,35;42,90;Similar;Não
HEMIFUMARATO DE QUETIAPINA;329,34;329,34;Genérico;Sim
BESILATO DE LEVANLODIPINO;37,62;43,21;Similar;Não
HEMIFUMARATO DE BISOPROLOL;92,81;92,81;Similar;Não
ALFANONACOGUE;2695,75;3096,70;Biológico;Não
DICLOFENACO DIETILAMÔNIO;6,17;7,09;Similar;Sim
"CLORIDRATO DE BENSERAZIDA;LEVODOPA";52,00;52,00;Novo;Sim
DICLORIDRATO DE PRAMIPEXOL;123,33;123,33;Similar;Não
OXALIPLATINA;28293,82;28293,82;Genérico;Sim
CLONAZEPAM;152,19;152,19;Similar;Não
DIMETILSULFÓXIDO DE TRAMETINIBE;16864,93;19373,31;Novo;Sim
INSULINA ISOFANA;1171,87;1171,87;Biológico;Não
OMEPRAZOL;16,65;16,65;Similar;Não
LIDOCAÍNA;9,93;9,93;Genérico;Sim
"FOSFATO DISSÓDICO DE BETAMETASONA;DIPROPIONATO DE BETAMETASONA";606,59;606,59;Similar;Não
CEFALOTINA SODICA;391,28;391,28;Similar;Não
CLORIDRATO DE SOTALOL;46,31;46,31;Genérico;Sim
"MEGLUMINA;ÁCIDO IOXÁGLICO";355,16;355,16;Similar;Não
NITRATO DE ISOCONAZOL;15,01;17,24;Genérico;Não
DIVALPROATO DE SÓDIO;79,20;79,20;Similar;Sim
VORICONAZOL;851,26;851,26;Genérico;Não
PROMESTRIENO;63,34;63,34;Novo;Não
PASSIFLORA INCARNATA;20,83;23,92;Fitoterápico;Não
MAYTENUS ILICIFOLIA MART.EX.REISS;26,98;30,99;Fitoterápico;Não
LINAGLIPTINA;52,87;60,74;Similar;Não
CLORIDRATO DE NEBIVOLOL;73,47;84,40;Similar;Sim
"CLORIDRATO DE LIDOCAINA;MENTOL CRISTAL;EXTRATO MOLE DE DAVILLA RUGOSA;EXTRATO MOLE DE ATROPA BELADONA;EXTRATO MOLE DE HAMAMELIS VIRGINIANA";17,10;19,65;Específico;Não
ACICLOVIR;82,39;82,39;Similar;Não
CARVEDILOL;32,95;32,95;Similar;Sim
DIPIRONA;6,01;6,91;Similar;Não
DELTAMETRINA;12,13;13,94;Similar;Não
MESILATO DE IMATINIBE;;;Genérico;Não
PREGABALINA;777,41;777,41;Genérico;Não
TARTARATO DE BRIMONIDINA;22,45;22,45;Novo;Não
BROMOPRIDA;205,81;236,42;Novo;Não
VALERATO DE BETAMETASONA;14,64;16,82;Genérico;Sim
SUCCINATO DE METOPROLOL;14,33;14,33;Novo;Sim
"DUTASTERIDA;CLORIDRATO DE TANSULOSINA";157,79;181,26;Similar;Não
TACROLIMO MONOIDRATADO;42,87;42,87;Genérico;Não
IOVERSOL;2691,51;2691,51;Novo;Sim
VACINA DENGUE 1, 2, 3 E 4 (RECOMBINANTE, ATENUADA);3220,04;3698,97;Biológico;Não
MELOXICAM;12,69;12,69;Genérico;Sim
"PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 58;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 16;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 18;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 6;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 31;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 52;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 33;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 11;PARTÍCULA SEMELHANTE A VÍRUS DE PROTEÍNA L1 DO HPV DO TIPO 45";539,10;619,29;Biológico;Sim
SECNIDAZOL;16,58;19,04;Similar;Sim
BESILATO DE ANLODIPINO;72,11;72,11;Genérico;Não
BROMOPRIDA;12,47;14,32;Genérico;Não
CLORIDRATO DE PROPRANOLOL;;;Similar;Não
ESTRIOL;33,27;33,27;Similar;Não
BUDESONIDA;6,22;6,22;Novo;Não
HEDERA HELIX (HERA);32,47;37,29;Fitoterápico;Não
CLORIDRATO DE PROPRANOLOL;8,72;8,72;Similar;Sim
CAPSAICINA;54,24;62,31;Novo;Sim
FUMARATO DE FORMOTEROL DI-HIDRATADO;99,11;99,11;Novo;Sim
MALEATO DE ENALAPRIL;26,25;26,25;Similar;Não
"PALMITATO DE RETINOL;ÓXIDO DE ZINCO;COLECALCIFEROL";;;Específico;Sim
TECLOZANA;12,10;13,90;Similar;Não
CLORIDRATO DE SERTRALINA;62,92;62,92;Similar;Não
EXTRATO SECO DE VALERIANA OFFICINALIS L.;523,20;601,02;Fitoterápico;Não
CLORIDRATO DE BENZIDAMINA;19,58;22,49;Novo;Não
"VALSARTANA;HIDROCLOROTIAZIDA";123,65;123,65;Similar;Não
GLICOSE;266,35;266,35;Similar;Não
FAMPRIDINA;1034,37;1188,21;Novo;Sim
"HIDROCLOROTIAZIDA;IRBESARTANA";77,81;77,81;Genérico;Sim
"CLORIDRATO DE METFORMINA;FOSFATO DE SITAGLIPTINA";181,11;181,11;Novo;Sim
COLECALCIFEROL;192,49;221,12;Específico;Sim
PARACETAMOL;6,72;7,72;Genérico;Sim
CLORIDRATO DE TIZANIDINA;33,93;38,97;Novo;Sim
PREDNISOLONA;13,90;13,90;Genérico;Não
BROMAZEPAM;9,90;9,90;Genérico;Não
"ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO";3489,52;4008,53;Específico;Sim
"CARISOPRODOL;PARACETAMOL;CAFEÍNA ANIDRA;DICLOFENACO SÓDICO";4,26;4,89;Novo;Sim
CABERGOLINA;183,75;183,75;Genérico;Não
CLORIDRATO DE PAROXETINA;40,47;40,47;Similar;Não
"CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA";17,50;20,11;Similar;Não
DICLORIDRATO DE HIDROXIZINA;17,51;20,12;Genérico;Sim
TADALAFILA;195,94;195,94;Genérico;Não
LACTATO DE BIPERIDENO;95,49;95,49;Similar;Não
AMINAFTONA;55,59;63,86;Novo;Sim
PEUMUS BOLDUS;178,56;205,12;Fitoterápico;Não
CLORIDRATO DE NEBIVOLOL;94,12;108,11;Genérico;Não
IODIXANOL;562,59;562,59;Novo;Sim
"GLIBENCLAMIDA;CLORIDRATO DE METFORMINA";11,82;11,82;Novo;Não
ALBENDAZOL;7,33;7,33;Genérico;Sim
BESILATO DE ANLODIPINO;120,37;120,37;Similar;Sim
HIDROCLOROTIAZIDA;4,89;4,89;Genérico;Sim
CLORIDRATO DE NARATRIPTANA;7,39;7,39;Novo;Não
CLORIDRATO DE DULOXETINA;56,14;56,14;Similar;Sim
CITRATO DE SILDENAFILA;13,50;15,51;Similar;Não
LORAZEPAM;11,93;11,93;Genérico;Sim
ACEBROFILINA;16,95;16,95;Genérico;Sim
CITRATO DE TAMOXIFENO;73,18;73,18;Genérico;Não
BENZILPENICILINA POTÁSSICA;627,66;627,66;Similar;Não
ADAPALENO;62,08;71,31;Similar;Sim
ACEBROFILINA;16,95;16,95;Genérico;Não
ALPRAZOLAM;68,45;68,45;Genérico;Não
"PARACETAMOL;CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO";13,53;15,55;Similar;Não
ESOMEPRAZOL MAGNÉSICO;130,73;130,73;Similar;Sim
"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";34,33;34,33;Similar;Não
"SULFATO DE NEOMICINA;BACITRACINA ZÍNCICA";10,66;12,25;Similar;Sim
VALSARTANA;140,29;140,29;Genérico;Não
